time,h_asl,pitch,vc,roll
1.784,11.968,0.2261,0.0013167,-4.9638e-10
1.784,11.968,0.2261,0.0013167,-4.9638e-10
1.7917,11.968,0.2261,0.0012935,-4.8013e-10
1.7923,11.968,0.2261,0.0012935,-4.8013e-10
1.7923,11.968,0.2261,0.0012935,-4.8013e-10
1.8,11.968,0.22611,0.0012711,-4.7342e-10
1.8005,11.968,0.22611,0.0012711,-4.7342e-10
1.8005,11.968,0.22611,0.0012711,-4.7342e-10
1.8083,11.9679,0.22612,0.0012491,-4.6548e-10
1.8086,11.9679,0.22612,0.0012491,-4.6548e-10
1.8086,11.9679,0.22612,0.0012491,-4.6548e-10
1.8167,11.9679,0.22613,0.0012274,-4.6144e-10
1.8168,11.9679,0.22613,0.0012274,-4.6144e-10
1.8168,11.9679,0.22613,0.0012274,-4.6144e-10
1.825,11.9679,0.22614,0.001206,-4.5742e-10
1.825,11.9679,0.22614,0.001206,-4.5742e-10
1.825,11.9679,0.22614,0.001206,-4.5742e-10
1.8333,11.9679,0.22614,0.0011849,-4.5538e-10
1.8417,11.9679,0.22615,0.0011644,-4.5379e-10
1.85,11.9679,0.22616,0.001144,-4.5338e-10
1.8583,11.9678,0.22616,0.0011241,-4.5348e-10
1.8667,11.9678,0.22617,0.0011044,-4.5435e-10
1.875,11.9678,0.22618,0.0010854,-4.5568e-10
1.8833,11.9678,0.22618,0.0010664,-4.5752e-10
1.8917,11.9678,0.22619,0.0010478,-4.5974e-10
1.9,11.9678,0.2262,0.0010296,-4.6231e-10
1.9083,11.9677,0.2262,0.0010117,-4.6517e-10
1.9167,11.9677,0.22621,0.00099402,-4.6831e-10
1.925,11.9677,0.22621,0.00097677,-4.3236e-10
1.9333,11.9677,0.22622,0.00095971,-3.9229e-10
1.9417,11.9677,0.22623,0.00094311,-3.7147e-10
1.95,11.9677,0.22623,0.00092649,-3.4831e-10
1.9583,11.9677,0.22624,0.00091035,-3.3311e-10
1.9667,11.9677,0.22624,0.00089447,-3.1805e-10
1.975,11.9676,0.22625,0.00087913,-3.0708e-10
1.9833,11.9676,0.22625,0.00086352,-2.9713e-10
1.9917,11.9676,0.22626,0.00084877,-2.8962e-10
2,11.9676,0.22626,0.00083376,-2.8327e-10
2.0083,11.9676,0.22627,0.00081966,-2.785e-10
2.0167,11.9676,0.22627,0.00080531,-2.7475e-10
2.025,11.9676,0.22628,0.00079131,-2.721e-10
2.0333,11.9676,0.22628,0.00077706,-2.7029e-10
2.0417,11.9676,0.22629,0.00076382,-2.6927e-10
2.05,11.9675,0.22629,0.00075035,-2.6889e-10
2.0583,11.9675,0.22629,0.00073728,-2.6911e-10
2.0667,11.9675,0.2263,0.00072466,-2.698e-10
2.075,11.9675,0.2263,0.00071181,-2.7094e-10
2.0833,11.9675,0.22631,0.00069976,-2.7244e-10
2.0917,11.9675,0.22631,0.00068751,-2.7428e-10
2.1,11.9675,0.22632,0.00067539,-2.7638e-10
2.1083,11.9675,0.22632,0.00066378,-2.7872e-10
2.1167,11.9675,0.22632,0.00065197,-2.8126e-10
2.125,11.9675,0.22633,0.00064069,-2.8397e-10
2.1333,11.9674,0.22633,0.0006296,-2.8685e-10
2.1417,11.9674,0.22633,0.0006187,-2.8984e-10
2.15,11.9674,0.22634,0.00060801,-2.9294e-10
2.1583,11.9674,0.22634,0.00059672,-2.9615e-10
2.1667,11.9674,0.22634,0.00058687,-2.9943e-10
2.175,11.9674,0.22635,0.00057643,-3.0277e-10
2.1833,11.9674,0.22635,0.00056666,-3.0616e-10
2.1917,11.9674,0.22635,0.00055671,-3.096e-10
2.2,11.9674,0.22636,0.00054703,-2.9343e-10
2.2083,11.9674,0.22636,0.00053762,-2.7514e-10
2.2167,11.9674,0.22636,0.00052805,-2.6641e-10
2.225,11.9674,0.22637,0.00051877,-2.5647e-10
2.2333,11.9673,0.22637,0.0005098,-2.5046e-10
2.2417,11.9673,0.22637,0.00050066,-2.4449e-10
2.25,11.9673,0.22637,0.00049235,-2.4053e-10
2.2583,11.9673,0.22638,0.00048338,-2.3706e-10
2.2667,11.9673,0.22638,0.00047528,-2.3477e-10
2.275,11.9673,0.22638,0.00046703,-2.3305e-10
2.2833,11.9673,0.22638,0.00045863,-2.3208e-10
2.2917,11.9673,0.22639,0.00045062,-2.3163e-10
2.3,11.9673,0.22639,0.00044301,-2.3171e-10
2.3083,11.9673,0.22639,0.00043526,-2.3219e-10
2.3167,11.9673,0.22639,0.00042738,-2.3305e-10
2.325,11.9673,0.2264,0.00041993,-2.3423e-10
2.3333,11.9673,0.2264,0.00041293,-2.357e-10
2.3417,11.9673,0.2264,0.00040581,-2.3739e-10
2.35,11.9673,0.2264,0.00039856,-2.3931e-10
2.3583,11.9673,0.22641,0.00039118,-2.4139e-10
2.3667,11.9672,0.22641,0.00038492,-2.4364e-10
2.375,11.9672,0.22641,0.00037791,-2.4602e-10
2.3833,11.9672,0.22641,0.00037143,-2.4851e-10
2.3917,11.9672,0.22641,0.00036483,-2.5111e-10
2.4,11.9672,0.22642,0.00035879,-2.5378e-10
2.4083,11.9672,0.22642,0.00035196,-2.5652e-10
2.4167,11.9672,0.22642,0.00034639,-2.5931e-10
2.425,11.9672,0.22642,0.00034002,-2.6218e-10
2.4333,11.9672,0.22642,0.00033426,-2.6507e-10
2.4417,11.9672,0.22643,0.0003284,-2.6801e-10
2.45,11.9672,0.22643,0.00032242,-2.7097e-10
2.4583,11.9672,0.22643,0.00031711,-2.7396e-10
2.4667,11.9672,0.22643,0.0003117,-2.7697e-10
2.475,11.9672,0.22643,0.0003062,-2.8e-10
